name,club,position,projected_points
Declan Breen,Ballymena,GK,3
Brad Wade,Ballymena,GK,-3
Gareth Deane,Bangor,GK,-4
Patrick Solis-Grogan,Bangor,GK,0
Lorcan Donnelly,Carrick,GK,1
Nathan Gartside,Carrick,GK,1
Scott Pengelly,Carrick,GK,-3
Zach Balfour,Cliftonville,GK,0
PJ Morrison,Cliftonville,GK,24
Lewis Ridd,Cliftonville,GK,-11
Max Little,Coleraine,GK,0
Ryan Schofield,Coleraine,GK,35
Musa Dibaga,Crusaders,GK,-7
Jonny Tuffey,Crusaders,GK,-36
Declan Dunne,Dungannon,GK,5
Alex Henderson,Dungannon,GK,-19
Mark Byrne,Glenavon,GK,-22
Jacob Carney,Glenavon,GK,2
Billy Crellin,Glentoran,GK,0
Andrew Mills,Glentoran,GK,83
Rohan Ferguson,Larne,GK,125
Dylan Graham,Larne,GK,0
Chris Johns,Linfield,GK,105
David Walsh,Linfield,GK,-6
Aaron McCarey,Portadown,GK,-21
Alex Moore,Portadown,GK,-13
Matthew Clarke,Ballymena,DEF,44
Ali Gould,Ballymena,DEF,12
Daniel Lafferty,Ballymena,DEF,4
Daithi McCallion,Ballymena,DEF,18
Shane McElaney,Ballymena,DEF,39
Stephen O'Donnell,Ballymena,DEF,13
Joel Thompson,Ballymena,DEF,13
David Toure,Ballymena,DEF,29
Mark Haughey,Bangor,DEF,18
Iestyn Hughes,Bangor,DEF,15
Harry Lynch,Bangor,DEF,42
Caomhan McGuinness,Bangor,DEF,0
Stephen McGuinness,Bangor,DEF,18
Reece Neale,Bangor,DEF,33
Kyle Owens,Bangor,DEF,10
Kielan Reid,Bangor,DEF,0
Ethan Boyle,Carrick,DEF,0
Ben Buchanan-Rolleston,Carrick,DEF,-1
Billy Joe Burns,Carrick,DEF,31
Jimmy Callacher,Carrick,DEF,30
Reece Glendinning,Carrick,DEF,-5
Luke McCullough,Carrick,DEF,59
Ryan McKay,Carrick,DEF,22
Luke O'Brien,Carrick,DEF,3
Matthew Olosunde,Carrick,DEF,10
Cian O'Malley,Carrick,DEF,0
Mikey Place,Carrick,DEF,17
Cameron Stewart,Carrick,DEF,0
Ben Tilney,Carrick,DEF,0
Jonny Addis,Cliftonville,DEF,56
Luke Conlan,Cliftonville,DEF,19
Aidan Kelly,Cliftonville,DEF,-2
Shaun Leppard,Cliftonville,DEF,33
Kyle McClelland,Cliftonville,DEF,-6
Joseph Toole,Cliftonville,DEF,9
Mark Connolly,Coleraine,DEF,17
Charles Dunne,Coleraine,DEF,75
Levi Ives,Coleraine,DEF,71
Dean Jarvis,Coleraine,DEF,56
Graham Kelly,Coleraine,DEF,54
Graham Kelly,Coleraine,DEF,0
Kodi Lyons-Foster,Coleraine,DEF,34
Cameron Stewart,Coleraine,DEF,32
Lewis Barr,Crusaders,DEF,5
Cameron Bruce,Crusaders,DEF,4
Jacob Blaney,Crusaders,DEF,2
Kurtis Forsythe,Crusaders,DEF,5
Brendan Hamilton,Crusaders,DEF,0
Odhran McCart,Crusaders,DEF,-4
Scot Rough,Crusaders,DEF,5
Adam Glenny,Dungannon,DEF,54
Peter Maguire,Dungannon,DEF,2
Caolan Marron,Dungannon,DEF,24
Cahal McGinty,Dungannon,DEF,15
John Scott,Dungannon,DEF,-3
Steven Scott,Dungannon,DEF,31
Mal Smith,Dungannon,DEF,-6
Danny Wallace,Dungannon,DEF,32
Paddy Burns,Glenavon,DEF,32
Luke Cartwright,Glenavon,DEF,1
Barney McKeown,Glenavon,DEF,14
Jordan McMullan,Glenavon,DEF,13
John Mountney,Glenavon,DEF,11
Harry Murphy,Glenavon,DEF,13
Oran O'Kane,Glenavon,DEF,0
Niall Quinn,Glenavon,DEF,-12
Danny Amos,Glentoran,DEF,71
Ciaran Coil,Glentoran,DEF,19
Ryan Cooney,Glentoran,DEF,84
Marcus Kane,Glentoran,DEF,54
Daniel Larmour,Glentoran,DEF,63
Jarlath O'Rourke,Glentoran,DEF,32
Cian Bolger,Larne,DEF,0
Tomas Cosgrove,Larne,DEF,107
Aaron Donnelly,Larne,DEF,65
Sean Graham,Larne,DEF,104
Ryan Nolan,Larne,DEF,72
Matthew Ridley,Larne,DEF,117
Logan Wallace,Larne,DEF,28
Sean Brown,Linfield,DEF,72
Euan East,Linfield,DEF,57
Ben Hall,Linfield,DEF,73
Darragh Leahy,Linfield,DEF,25
Ethan McGee,Linfield,DEF,57
Scot Whiteside,Linfield,DEF,14
Baris Altintop,Portadown,DEF,26
Lee Chapman,Portadown,DEF,17
Divin Isamala,Portadown,DEF,4
Lewis MacKinnon,Portadown,DEF,19
Steven McCullough,Portadown,DEF,21
Aaron Traynor,Portadown,DEF,6
Aaron Wightman,Portadown,DEF,0
Luke Wilson,Portadown,DEF,19
Kian Corbally,Ballymena,MID,83
James Hood,Ballymena,MID,29
Aaron Jarvis,Ballymena,MID,43
Patrick McClean,Ballymena,MID,23
Sean Murray,Ballymena,MID,16
Donal Rocks,Ballymena,MID,19
Fuad Sule,Ballymena,MID,20
Oisin Devlin,Bangor,MID,16
Stephen Fallon,Bangor,MID,24
Robert Garrett,Bangor,MID,19
Lewis Harrison,Bangor,MID,36
Liam Hassin,Bangor,MID,66
Tom Mathieson,Bangor,MID,2
Scott McArthur,Bangor,MID,0
Tiarnan Mulvenna,Bangor,MID,71
Josh Andrews,Carrick,MID,0
Kyle Cherry,Carrick,MID,27
Seanan Clucas,Carrick,MID,4
Joe Crowe,Carrick,MID,56
Matthew Snoddy,Carrick,MID,62
Aidan Steele,Carrick,MID,81
Micheal Glynn,Cliftonville,MID,48
Rory Hale,Cliftonville,MID,56
Keevan Hawthorne,Cliftonville,MID,42
Josh Kelly,Cliftonville,MID,46
Callum McCay,Cliftonville,MID,16
Liam McStravick,Cliftonville,MID,27
Conor Pepper,Cliftonville,MID,30
Joe Sheridan,Cliftonville,MID,55
Harry Wilson,Cliftonville,MID,48
Dylan Boyle,Coleraine,MID,52
Mark Coyle,Coleraine,MID,20
Jamie Glackin,Coleraine,MID,59
Will Patching,Coleraine,MID,97
Ben Wylie,Coleraine,MID,87
Lloyd Anderson,Crusaders,MID,72
Jordan Forsythe,Crusaders,MID,28
Harry Jewitt-White,Crusaders,MID,8
Oilibhear McCart,Crusaders,MID,5
Kieran McKechnie,Crusaders,MID,19
Finley Thorndike,Crusaders,MID,51
Robbie Weir,Crusaders,MID,26
Josh Williamson,Crusaders,MID,47
Leo Alves,Dungannon,MID,52
Gael Bigirimana,Dungannon,MID,53
Paul Doyle,Dungannon,MID,17
Shea Gordon,Dungannon,MID,26
Tiernan Kelly,Dungannon,MID,54
James Knowles,Dungannon,MID,32
Sean Carlin,Glenavon,MID,44
Joshua Kee,Glenavon,MID,16
Charlie Lindsay,Glenavon,MID,14
Kris Lowe,Glenavon,MID,20
Luke McGerrigan,Glenavon,MID,24
Ben Wilson,Glenavon,MID,21
Liam Burt,Glentoran,MID,51
James Douglas,Glentoran,MID,7
Jack Malone,Glentoran,MID,65
Aaron McCeneff,Glentoran,MID,39
Cameron Palmer,Glentoran,MID,74
James Singleton,Glentoran,MID,62
Joe Thomson,Glentoran,MID,34
Dan Bent,Larne,MID,37
Ronan Doherty,Larne,MID,37
Christopher Gallagher,Larne,MID,60
Jordan McEneff,Larne,MID,44
Mark Randall,Larne,MID,49
Dylan Sloan,Larne,MID,6
Charlie Allen,Linfield,MID,33
Josh Archer,Linfield,MID,36
Isaac Baird,Linfield,MID,60
Cammy Ballantyne,Linfield,MID,4
Adam Frizzell,Linfield,MID,20
Alex Gorrin,Linfield,MID,3
Kyle McClean,Linfield,MID,88
Dane McCullough,Linfield,MID,39
Jamie Mulgrew,Linfield,MID,21
Chris Shields,Linfield,MID,14
Josh Carson,Portadown,MID,17
Jack Scott,Portadown,MID,61
Rabby Tabu Minzamba,Portadown,MID,22
Gary Thompson,Portadown,MID,38
Adhamh Towe,Portadown,MID,24
Deane Ebbe,Ballymena,FWD,9
Success Edogun,Ballymena,FWD,65
Ben Kennedy,Ballymena,FWD,28
Calvin McCurry,Ballymena,FWD,43
Daire O'Connor,Ballymena,FWD,43
Jack O'Reilly,Ballymena,FWD,28
Igor Rutkowski,Ballymena,FWD,43
Andrew Scott,Ballymena,FWD,3
Ben Arthurs,Bangor,FWD,88
Jay Boyd,Bangor,FWD,32
Ben Cushnie,Bangor,FWD,63
Michael Morgan,Bangor,FWD,55
Jack O'Mahony,Bangor,FWD,40
Jack Boyd,Carrick,FWD,2
Danny Gibson,Carrick,FWD,134
Paul Heatley,Carrick,FWD,86
Rakealan Jeffers,Carrick,FWD,2
Adam Lecky,Carrick,FWD,81
Nedas Maciulaitis,Carrick,FWD,14
Ryan Waide,Carrick,FWD,25
Rhyss Campbell,Cliftonville,FWD,4
Adam Carroll,Cliftonville,FWD,12
Ryan Corrigan,Cliftonville,FWD,1
Ryan Curran,Cliftonville,FWD,68
Joe Gormley,Cliftonville,FWD,68
Brian Healy,Cliftonville,FWD,32
Eric McWoods,Cliftonville,FWD,34
James Akintunde,Coleraine,FWD,16
Joel Cooper,Coleraine,FWD,164
Jamie McGonigle,Coleraine,FWD,34
Lewis McGregor,Coleraine,FWD,33
Connor Murray,Coleraine,FWD,1
Matthew Shevlin,Coleraine,FWD,126
Adam Brooks,Crusaders,FWD,94
Fraser Bryden,Crusaders,FWD,147
Ryan Donnelly,Crusaders,FWD,3
Elliot Dunlop,Crusaders,FWD,71
Thomas Maguire,Crusaders,FWD,42
Stewart Nixon,Crusaders,FWD,25
Sam Anderson,Dungannon,FWD,4
Leon Boyd,Dungannon,FWD,0
Kealan Dillon,Dungannon,FWD,62
Tomas Galvin,Dungannon,FWD,8
Sean McAllister,Dungannon,FWD,72
Darragh McBrien,Dungannon,FWD,1
Andrew Mitchell,Dungannon,FWD,48
Kobei Moore,Dungannon,FWD,29
Corey Smith,Dungannon,FWD,34
Peter Campbell,Glenavon,FWD,40
Conor Falls,Glenavon,FWD,53
Nathaniel Ferris,Glenavon,FWD,32
Gavin Gilmore,Glenavon,FWD,5
Mikey Harkin,Glenavon,FWD,1
Stephen Mallon,Glenavon,FWD,30
Paul McGovern,Glenavon,FWD,90
Ross Clarke,Glentoran,FWD,44
Dylan Connolly,Glentoran,FWD,16
Josh Daniels,Glentoran,FWD,22
Ben Gallagher,Glentoran,FWD,6
Patrick Hoban,Glentoran,FWD,173
Jordan Jenkins,Glentoran,FWD,63
Jordan Stewart,Glentoran,FWD,70
Cal Weatherup,Glentoran,FWD,0
Matthew Lusty,Larne,FWD,69
Benji Magee,Larne,FWD,44
Conor McKendry,Larne,FWD,42
Tiarnan O'Connor,Larne,FWD,76
Paul O'Neill,Larne,FWD,75
Andy Ryan,Larne,FWD,66
Matthew Fitzpatrick,Linfield,FWD,135
Christopher McKee,Linfield,FWD,50
Kirk Millar,Linfield,FWD,57
Kieran Offord,Linfield,FWD,50
Rhys Annett,Portadown,FWD,28
Eamon Fyfe,Portadown,FWD,111
Shay McCartan,Portadown,FWD,11
Ahu Obhakhan,Portadown,FWD,19
James Teelan,Portadown,FWD,79
Gideon Tetteh,Portadown,FWD,11
Rayhaan Tulloch,Portadown,FWD,16
Josh Ukek,Portadown,FWD,50
Oran Kearney,Ballymena,AM,13
Lee Feeney,Bangor,AM,39
Stephen Baxter,Carrick,AM,50
Jim Magilton,Cliftonville,AM,50
Ruaidhri Higgins,Coleraine,AM,77
Declan Caddell,Crusaders,AM,33
Rodney McAree,Dungannon,AM,46
