team,squad_number,name
Larne FC,1,Rohan Ferguson
Larne FC,16,Jacob Carney
Larne FC,36,Dylan Graham
Larne FC,31,Dan Collett
Larne FC,3,Matt Ridley
Larne FC,4,Aaron Donnelly
Larne FC,5,Sam McClelland
Larne FC,46,Logan Wallace
Larne FC,11,Sean Graham
Larne FC,47,James Simpson
Larne FC,23,Tomas Cosgrove
Larne FC,6,Chris Gallagher
Larne FC,26,Dan Bent
Larne FC,22,Jordan McEneff
Larne FC,15,Ronan Doherty
Larne FC,21,Leroy Millar
Larne FC,8,Mark Randall
Larne FC,25,Dylan Sloan
Larne FC,17,Josh Ukek
Larne FC,7,Conor McKendry
Larne FC,10,Tiarnan O'Connor
Larne FC,9,Paul O'Neill
Larne FC,14,Benji Magee
Larne FC,30,Matthew Lusty
Larne FC,19,Kevin O'Hara
Larne FC,45,Montel Gibson
Coleraine FC,1,Ryan Schofield
Coleraine FC,12,Lewis Webb
Coleraine FC,5,Cameron Stewart
Coleraine FC,6,Kodi Lyons-Foster
Coleraine FC,16,Aidan Wilson
Coleraine FC,15,Levi Ives
Coleraine FC,23,Ben Doherty
Coleraine FC,3,Dean Jarvis
Coleraine FC,2,Lyndon Kane
Coleraine FC,26,Conrad Hunt
Coleraine FC,4,Dylan Boyle
Coleraine FC,21,Rowan McDonald
Coleraine FC,8,Will Patching
Coleraine FC,14,Mark Coyle
Coleraine FC,20,Senan Devine
Coleraine FC,22,Ben Wylie
Coleraine FC,28,Oli Devlin
Coleraine FC,11,Joel Cooper
Coleraine FC,10,Connor Murray
Coleraine FC,7,Lewis McGregor
Coleraine FC,17,Jay Henderson
Coleraine FC,24,Conor McMenamin
Coleraine FC,9,Matthew Shevlin
Coleraine FC,25,James Akintunde
Glentoran FC,1,Andrew Mills
Glentoran FC,31,Billy Crellin
Glentoran FC,4,Zeno Ibsen Rossi
Glentoran FC,20,Daniel Larmour
Glentoran FC,24,Owen O'Neill
Glentoran FC,27,James Singleton
Glentoran FC,26,Jarlath O'Rourke
Glentoran FC,3,Marcus Kane
Glentoran FC,41,Ciaran Rogers-Duffy
Glentoran FC,2,Ryan Cooney
Glentoran FC,44,James Douglas
Glentoran FC,38,Jack Faloona
Glentoran FC,8,Aaron McEneff
Glentoran FC,6,Joe Thomson
Glentoran FC,5,Josh Kelly
Glentoran FC,12,Greg Sloggett
Glentoran FC,17,Liam Burt
Glentoran FC,10,Jordan Stewart
Glentoran FC,29,Jack Malone
Glentoran FC,21,Charlie Lindsay
Glentoran FC,23,Rhys Walsh
Glentoran FC,11,Joshua Daniels
Glentoran FC,7,Ross Clarke
Glentoran FC,47,Casey Smyth
Glentoran FC,30,Jordan Jenkins
Glentoran FC,9,Pat Hoban
Glentoran FC,25,Ben Gallagher
Glentoran FC,14,Nathaniel Ferris
Glentoran FC,35,Cal Weatherup
Dungannon Swifts FC,1,Declan Dunne
Dungannon Swifts FC,12,Alex Henderson
Dungannon Swifts FC,31,Dylan Glass
Dungannon Swifts FC,17,Cahal McGinty
Dungannon Swifts FC,23,Danny Wallace
Dungannon Swifts FC,5,Barney McKeown
Dungannon Swifts FC,4,Peter Maguire
Dungannon Swifts FC,3,John Scott
Dungannon Swifts FC,14,Adam Glenny
Dungannon Swifts FC,2,Steven Scott
Dungannon Swifts FC,6,Tiernan Kelly
Dungannon Swifts FC,34,Gaël Bigirimana
Dungannon Swifts FC,10,Kealan Dillon
Dungannon Swifts FC,16,Shea Gordon
Dungannon Swifts FC,21,Paul Doyle
Dungannon Swifts FC,15,Kris Lowe
Dungannon Swifts FC,8,Jamie Glackin
Dungannon Swifts FC,22,Bobby McAleese
Dungannon Swifts FC,22,Michael McElhatton
Dungannon Swifts FC,37,Corey Smith
Dungannon Swifts FC,21,Darragh McBrien
Dungannon Swifts FC,22,Aidan Hegarty
Dungannon Swifts FC,13,Leo Alves
Dungannon Swifts FC,67,Sean McAllister
Dungannon Swifts FC,26,Andy Mitchell
Dungannon Swifts FC,27,Sam Anderson
Linfield FC,1,Chris Johns
Linfield FC,18,Aidan Glavin
Linfield FC,2,Ben Hall
Linfield FC,4,Ryan Nolan
Linfield FC,33,Darragh Leahy
Linfield FC,17,Dane McCullough
Linfield FC,27,Ethan McGee
Linfield FC,24,Sean Brown
Linfield FC,5,Chris Shields
Linfield FC,8,Kyle McClean
Linfield FC,26,Isaac Baird
Linfield FC,22,Jamie Mulgrew
Linfield FC,7,Kirk Millar
Linfield FC,10,Adam Frizzell
Linfield FC,16,Dylan Wells
Linfield FC,29,Matthew Fitzpatrick
Linfield FC,9,Kieran Offord
Linfield FC,20,Kobei Moore
Linfield FC,36,Rhys Annett
Linfield FC,23,Charlie Chapman
Ballymena United FC,1,David Walsh
Ballymena United FC,23,Declan Breen
Ballymena United FC,30,Kyle Chivers
Ballymena United FC,4,Jonny Addis
Ballymena United FC,15,Daithí McCallion
Ballymena United FC,5,Scot Whiteside
Ballymena United FC,19,Shane McEleney
Ballymena United FC,32,Conor Burns
