name,club,position,wage
Declan Breen,BMNA,GK,200
David Walsh,BMNA,GK,300
Gareth Deane,BNGR,GK,250
Patrick Solis Grogan,BNGR,GK,250
Nathan Gartside,CKRG,GK,300
Scott Pengelly,CKRG,GK,200
PJ Morrison,CLIF,GK,300
Lewis Ridd,CLIF,GK,250
Ryan Schofield,COLE,GK,400
Lewis Webb,COLE,GK,350
Rian Brown,CRUS,GK,300
Shea Callister,CRUS,GK,250
Declan Dunne,DGNS,GK,300
Alex Henderson,DGNS,GK,200
Billy Crellin,GLNT,GK,300
Andrew Mills,GLNT,GK,350
Dylan Graham,LARN,GK,200
Rohan Ferguson,LARN,GK,400
Fintan Doherty,LIMV,GK,200
Martin Gallagher,LIMV,GK,300
Aidan Glavin,LINF,GK,200
Chris Johns,LINF,GK,400
Aaron McCarey,PORT,GK,300
Alex Moore,PORT,GK,200
Jonny Addis,BMNA,DEF,350
Matthew Clarke,BMNA,DEF,350
Micheal Glynn,BMNA,DEF,350
Shane McEleney,BMNA,DEF,300
Daithi McCallion,BMNA,DEF,300
David Toure,BMNA,DEF,350
Scot Whiteside,BMNA,DEF,350
Lewis Francis,BNGR,DEF,250
Iestyn Hughes,BNGR,DEF,300
Harry Lynch,BNGR,DEF,350
Alfie Mitchell,BNGR,DEF,250
Steven McCullough,BNGR,DEF,300
Caomhan McGuinness,BNGR,DEF,250
Stephen McGuinness,BNGR,DEF,300
Reece Neale,BNGR,DEF,300
Jeremi Rodriguez,BNGR,DEF,300
Ethan Boyle,CKRG,DEF,250
Ben Buchanan-Rolleston,CKRG,DEF,250
Billy Joe Burns,CKRG,DEF,300
Jimmy Callacher,CKRG,DEF,300
Jordan Forsythe,CKRG,DEF,350
Caleb Hawthorne,CKRG,DEF,250
Luke McCullough,CKRG,DEF,350
Cian O'Malley,CKRG,DEF,250
Mikey Place,CKRG,DEF,300
Alex Bannon,CLIF,DEF,300
Luke Conlan,CLIF,DEF,300
Aidan Kelly,CLIF,DEF,250
Shaun Leppard,CLIF,DEF,300
Kyle McClelland,CLIF,DEF,300
Dan O'Connor,CLIF,DEF,300
Ollie Samuels,CLIF,DEF,250
Aaron Wightman,CLIF,DEF,300
Conrad Hunt,COLE,DEF,250
Levi Ives,COLE,DEF,400
Dean Jarvis,COLE,DEF,350
Lyndon Kane,COLE,DEF,400
