name,projected_points
Declan Breen,7.1
David Walsh,14.1
Gareth Deane,12.1
Patrick Solis Grogan,7.0
Nathan Gartside,9.9
Scott Pengelly,8.9
PJ Morrison,22.4
Lewis Ridd,9.6
Ryan Schofield,36.4
Lewis Webb,24.5
Rian Brown,59.0
Shea Callister,66.9
Declan Dunne,12.7
Alex Henderson,3.8
Billy Crellin,8.0
Andrew Mills,78.3
Dylan Graham,5.3
Rohan Ferguson,126.8
Fintan Doherty,27.5
Martin Gallagher,20.0
Aidan Glavin,14.0
Chris Johns,98.2
Aaron McCarey,8.9
Alex Moore,5.5
Jonny Addis,53.7
Matthew Clarke,41.5
Micheal Glynn,48.2
Shane McEleney,36.4
Daithi McCallion,23.1
David Toure,35.1
Scot Whiteside,24.7
Lewis Francis,24.6
Iestyn Hughes,20.2
Harry Lynch,40.2
Alfie Mitchell,23.4
Steven McCullough,23.8
Caomhan McGuinness,10.8
Stephen McGuinness,22.0
Reece Neale,35.7
Jeremi Rodriguez,28.1
Ethan Boyle,9.4
Ben Buchanan-Rolleston,16.9
Billy Joe Burns,34.3
Jimmy Callacher,33.6
Jordan Forsythe,34.4
Caleb Hawthorne,23.4
Luke McCullough,50.9
Cian O'Malley,10.8
Mikey Place,24.6
Alex Bannon,28.1
Luke Conlan,23.8
Aidan Kelly,15.8
Shaun Leppard,32.6
Kyle McClelland,18.7
Dan O'Connor,42.6
Ollie Samuels,26.9
Aaron Wightman,12.9
Conrad Hunt,23.4
Levi Ives,65.7
Dean Jarvis,53.7
Lyndon Kane,43.0
Kodi Lyons-Foster,40.7
Cameron Stewart,12.9
Aidan Wilson,39.3
Lewis Barr,14.2
Jacob Blaney,14.3
Cameron Bruce,13.6
Kurtis Forsythe,16.4
Graham Kelly,52.3
Ryan McKay,23.7
Scot Rough,16.4
Adam Glenny,47.8
Peter Maguire,12.1
Cahal McGinty,21.2
Barney McKeown,22.6
John Scott,17.8
Steven Scott,34.3
Danny Wallace,30.4
Ryan Cooney,83.2
Zeno Ibsen Rossi,37.7
Marcus Kane,52.3
Daniel Larmour,55.4
Jarlath O'Rourke,34.2
Tomas Cosgrove,89.6
Aaron Donnelly,62.1
Sean Graham,100.5
Matt Ridley,111.7
Sam McClelland,43.0
James Simpson,28.1
Logan Wallace,28.0
Tiernan Boorman,32.3
Rodney Brown,29.5
Kieran Farren,32.3
Daniel Lafferty,13.6
Adam Mullan,28.1
Stephen O'Donnell,19.0
Matthew Walker,41.1
Sean Brown,61.0
Jon Graham,18.7
Ben Hall,72.4
Darragh Leahy,28.1
Dane McCullough,36.4
Ethan McGee,49.2
Ryan Nolan,71.5
Baris Altintop,30.9
Rhys Breen,28.1
Matthew Carson,37.5
Lee Chapman,24.6
Michael Hewitt,28.1
Divin Isamala,15.7
Lewis MacKinnon,26.0
Aaron Traynor,15.6
Josh Archer,42.3
Charlie Allen,40.2
Stephen Fallon,31.1
